load pre-trained model "./pretrained_models/EVSNN.pth"
Will use fixed duration event windows of size 44.00 ms
Output frame rate: 22.7 Hz
Reading event window from file: 0.0050s
Processing: 2425.Reading event window from file: 0.0545s
Processing: 2430.Reading event window from file: 0.1519s
Processing: 2435.Reading event window from file: 0.1179s
Processing: 2440.Reading event window from file: 0.1375s
Processing: 2445.Reading event window from file: 0.1232s
Processing: 2450.Reading event window from file: 0.1082s
Processing: 2455.Reading event window from file: 0.1470s
Processing: 2460.Reading event window from file: 0.1468s
Processing: 2465.Reading event window from file: 0.1973s
Processing: 2470.Reading event window from file: 0.2203s
Processing: 2475.Reading event window from file: 0.2246s
Processing: 2480.Reading event window from file: 0.2653s
Processing: 2485.Reading event window from file: 0.2453s
Processing: 2490.Reading event window from file: 0.1889s
Processing: 2495.Reading event window from file: 0.1649s
Processing: 2500.Reading event window from file: 0.1231s
Processing: 2505.Reading event window from file: 0.0973s
Processing: 2510.Reading event window from file: 0.1022s
Processing: 2515.Reading event window from file: 0.0658s
Processing: 2520.Reading event window from file: 0.1221s
Processing: 2525.Reading event window from file: 0.1581s
Processing: 2530.Reading event window from file: 0.2342s
Processing: 2535.Reading event window from file: 0.3091s
Processing: 2540.Reading event window from file: 0.2773s
Processing: 2545.Reading event window from file: 0.2979s
Processing: 2550.Reading event window from file: 0.2953s
Processing: 2555.Reading event window from file: 0.2435s
Processing: 2560.Reading event window from file: 0.2598s
Processing: 2565.Reading event window from file: 0.1886s
Processing: 2570.Reading event window from file: 0.1679s
Processing: 2575.Reading event window from file: 0.1490s
Processing: 2580.Reading event window from file: 0.1606s
Processing: 2585.Reading event window from file: 0.2372s
Processing: 2590.Reading event window from file: 0.1820s
Processing: 2595.Reading event window from file: 0.1786s
Processing: 2600.Reading event window from file: 0.1408s
Processing: 2605.Reading event window from file: 0.1253s
Processing: 2610.Reading event window from file: 0.1085s
Processing: 2615.Reading event window from file: 0.0584s
Processing: 2620.Reading event window from file: 0.0506s
Processing: 2625.Reading event window from file: 0.0626s
Processing: 2630.Reading event window from file: 0.0545s
Processing: 2635.Reading event window from file: 0.1267s
Processing: 2640.Reading event window from file: 0.1449s
Processing: 2645.Reading event window from file: 0.1810s
Processing: 2650.Reading event window from file: 0.2331s
Processing: 2655.Reading event window from file: 0.2551s
Processing: 2660.Reading event window from file: 0.2661s
Processing: 2665.Reading event window from file: 0.2127s
Processing: 2670.Reading event window from file: 0.1840s
Processing: 2675.Reading event window from file: 0.1546s
Processing: 2680.Reading event window from file: 0.0917s
Processing: 2685.Reading event window from file: 0.0504s
Processing: 2690.Reading event window from file: 0.0798s
Processing: 2695.Reading event window from file: 0.0788s
Processing: 2700.Reading event window from file: 0.0866s
Processing: 2705.Reading event window from file: 0.1443s
Processing: 2710.Reading event window from file: 0.0881s
Processing: 2715.Reading event window from file: 0.1106s
Processing: 2720.Reading event window from file: 0.1737s
Processing: 2725.Reading event window from file: 0.3106s
Processing: 2730.Reading event window from file: 0.2887s
Processing: 2735.Reading event window from file: 0.3225s
Processing: 2740.Reading event window from file: 0.2892s
Processing: 2745.Reading event window from file: 0.3202s
Processing: 2750.Reading event window from file: 0.3347s
Processing: 2755.Reading event window from file: 0.1743s
Processing: 2760.Reading event window from file: 0.0995s
Processing: 2765.Reading event window from file: 0.0929s
Processing: 2770.Reading event window from file: 0.0601s
Processing: 2775.Reading event window from file: 0.0882s
Processing: 2780.Reading event window from file: 0.1586s
Processing: 2785.Reading event window from file: 0.2202s
Processing: 2790.Reading event window from file: 0.3061s
Processing: 2795.Reading event window from file: 0.3326s
Processing: 2800.Reading event window from file: 0.3774s
Processing: 2805.Reading event window from file: 0.5055s
Processing: 2810.Reading event window from file: 0.3384s
Processing: 2815.Reading event window from file: 0.2945s
Processing: 2820.Reading event window from file: 0.2413s
Processing: 2825.Reading event window from file: 0.2026s
Processing: 2830.Reading event window from file: 0.3091s
Processing: 2835.Reading event window from file: 0.3179s
Processing: 2840.Reading event window from file: 0.2439s
